"If the order is made with Pix or Credit Card, it'll trigger an online refund command","Se o pedido for feito com Pix ou Cartão de Crédito, ele acionará um comando de estorno online"
"Cancel Unapproved Orders","Cancelar Pedidos Não Aprovados"
"Show Payment Info at Success Page","Mostrar Informações de Pagamento na Página de Sucesso"
"If your store shows the payment info at success page, DON'T enable this feature","Se sua loja mostra as informações de pagamento na página de sucesso, NÃO habilite esta funcionalidade"
"Enable Log Requests","Habilitar Log de Requisições"
"Address Attributes","Atributos de Endereço"
Street,Rua
Number,Número
Complement,Complemento
"A complementary information about the address","Uma informação complementar sobre o endereço"
District,Bairro
Pix,Pix
"Expiration Time","Tempo de Expiração"
"Minutes to expire the transaction, if empty it'll be 30 minutes","Minutos para expirar a transação, se vazio será 30 minutos"
"Refunded Order Status","Status de Pedidos Reembolsados"
ID,ID
"Status Code","Código de Status"
Request,Requisição
Response,Resposta
Method,Método
Created,"Data de Criação"
Status,Status
"Increment ID","ID do Pedido"
Payload,Payload
"Bank Slip","Boleto"
"with interest","com juros"
"with discount","com desconto"
"without interest","sem juros"
"%1x of %2 (%3). Total: %4","%1x de %2 (%3). Total: %4"
"status_name","Status"
"Download Bank Slip","Fazer Download do Boleto"
"Copy code","Copiar código"
"Copied!","Copiado!"
"Bankslip Number","Linha Digitável"
"Bank Slip Pix","BolePix"
"Credentials used for all Vindi services, if you don't have the private key, contact us.","Credenciais usadas para todos os serviços da Vindi, se você não tem um token, entre em contato conosco."
"Insert here your email used for configure your account","Insira aqui o e-mail usado para configurar sua conta"
"Insert here the token used for authenticate your transaction, that token can be found in your Vindi Account","Insira aqui o token usado para autenticar sua transação, esse token pode ser encontrado em sua conta Vindi"
"Address data that'll be sent to Pix, BankSlip and Credit Card","Dados de endereço que serão enviados para Pix, Boleto, BolePix e Cartão de Crédito"
"Title of the payment method to be shown on checkout's page","Título do método de pagamento a ser mostrado na página de checkout"
"Max installments to be shown on checkout when using Vindi Payments, if set, this will override the maximum installments saved on Vindi's Panel","Máximo de parcelas a serem mostradas no checkout ao usar Vindi Payments, se definido, isso substituirá o máximo de parcelas salvas no Painel da Vindi"
"Max Installments","Número Máximo de Parcelas"
"Minimum Installments Amount","Valor Mínimo por Parcela"
"Minimum Amount for each installment","Valor Mínimo para cada parcela no checkout"
"Additional Credentials","Credenciais Adicionais"
"To refund is necessary to add consumer key and consumer secret","Para reembolsos é necessário adicionar consumer key e consumer secret, solicite à equipe da Vindi"
"Reseller Token","Reseller Token"
"Only change it if necessary requested by Vindi's team","Configurar este campo apenas quando direcionado pelo seu consultor comercial"
"Consumer Key","Consumer Key (Token da Aplicação)"
"Insert here the Consumer Key for your transaction, that key can be found in your Vindi Account","Insert here the Consumer Key for your transaction, that key can be found in your Vindi Account"
"Consumer Secret","Consumer Secret (Chave da Aplicação)"
"Insert here the Consumer Secret for your transaction, that key can be found in your Vindi Account","Insert here the Consumer Secret for your transaction, that key can be found in your Vindi Account"
"Payment Link", "Link para Pagamento"
